,freq.,title,author,words,code
117,53,The Passionate Elopement,Compton Mackenzie,"['odorous', 'ripe', 'savour', 'smell', 'perfume', 'pungent', 'musty', 'odour', 'bouquet', 'scent', 'scented', 'aroma', 'musk']",38177
118,53,"Someone Comes to Town, Someone Leaves Town",Cory Doctorow,"['reek', 'smell', 'whiff', 'acrid', 'aromatic', 'scented', 'scent', 'stink']",18224
119,52,McTeague,Frank Norris,"['acrid', 'smell', 'odorous', 'perfume', 'scented', 'aroma', 'reek', 'bouquet', 'pungent', 'piney', 'sniff', 'aromatic']",165
120,52,The Apple,Various,"['aroma', 'aromatic', 'ripe', 'musky', 'perfume', 'smell']",31729
121,52,Ten Thousand Wonderful Things,Edmund Fillingham King,"['smell', 'acrid', 'pungent', 'ripe', 'waft', 'odour', 'aromatic', 'putrid', 'perfume', 'stink', 'fragrance', 'aroma', 'stench', 'odorous', 'scented', 'scent', 'fetid']",45849
122,52,Turkish Literature,Various,"['pungent', 'ripe', 'scent', 'musky', 'scented', 'perfume', 'musk', 'fragrance', 'odorous', 'waft']",56464
123,52,The Harvester,Gene Stratton Porter,"['odour', 'perfume', 'smell', 'scent', 'odorous', 'scented', 'fragrance', 'musty', 'aromatic', 'bouquet', 'musky', 'ripe', 'fetid', 'pungent', 'acrid']",349
124,52,The Ladies' Paradise,Émile Zola,"['smell', 'odour', 'musty', 'ripe', 'perfume', 'aroma', 'musk', 'scent', 'pungent', 'putrid', 'fetid', 'scented', 'stench', 'savour', 'bouquet']",54726
125,52,"Dreams, Waking Thoughts, and Incidents",William Beckford,"['aromatic', 'perfume', 'scented', 'fragrance', 'stench', 'odour', 'scent', 'musky', 'ripe', 'musk', 'fetid']",7258
126,52,"The Serapion Brethren,",Ernst Theodor Wilhelm Hoffmann,"['aroma', 'scent', 'reek', 'perfume', 'odour', 'waft', 'smell', 'bouquet', 'musk', 'stink', 'stench', 'savour']",31820
127,52,Jerry of the Islands,Jack London,"['smell', 'scent', 'acrid', 'sniff', 'ripe', 'odour', 'stench', 'pungent', 'aromatic', 'scented', 'fragrance']",1161
128,52,Lad: A Dog,Albert Payson Terhune,"['scent', 'smell', 'fragrance', 'reek', 'scented', 'malodorous', 'sniff', 'perfume', 'pungent']",38777
129,51,The Undying Past,Hermann Sudermann,"['scent', 'perfume', 'scented', 'ripe', 'odour', 'pungent', 'bouquet', 'ripeness', 'fragrance', 'smell']",34156
130,51,Contemporary Belgian Poetry,Various,"['reek', 'savour', 'odour', 'ripe', 'scented', 'scent', 'fragrance', 'perfume', 'odorous', 'smell', 'aroma', 'bouquet', 'stink', 'fetid', 'waft', 'acrid', 'putrid']",35524
131,51,Alec Forbes of Howglen,George MacDonald,"['pungency', 'smell', 'reek', 'stench', 'ripe', 'scent', 'stink', 'odour', 'sniff', 'musty', 'aroma']",18810
132,51,Swiss Family Robinson,Johann David Wyss,"['smell', 'perfume', 'ripe', 'aromatic', 'ripeness', 'scented', 'scent', 'musk', 'odour', 'musky']",3836
133,51,Jonah and Co.,Dornford Yates,"['perfume', 'smell', 'scented', 'sniff', 'scent', 'savour', 'odour', 'ripe', 'reek']",27079
134,51,Tales of Secret Egypt,Sax Rohmer,"['perfume', 'smell', 'musk', 'aromatic', 'fragrance', 'pungent', 'pungency', 'scent', 'aroma', 'ripe', 'ripeness', 'scented', 'reek', 'stench']",40108
135,51,Contemporary Belgian Poetry,Various,"['reek', 'savour', 'odour', 'ripe', 'scented', 'scent', 'fragrance', 'perfume', 'odorous', 'smell', 'aroma', 'bouquet', 'stink', 'fetid', 'waft', 'acrid', 'putrid']",35524
136,50,"The Book of The Thousand Nights And A Night, Vol. 2 of 16",Unknown,"['savour', 'aromatic', 'perfume', 'musk', 'scented', 'reek', 'fetid', 'fragrance', 'smell', 'stench', 'scent', 'ripe', 'odour', 'stink', 'musky']",3436
137,50,Cease firing,Mary Johnston,"['aroma', 'bouquet', 'smell', 'scented', 'perfume', 'odour', 'musty', 'fragrance', 'ripe', 'fetid', 'pungent', 'scent', 'reek', 'ripeness']",52154
138,50,Short Stories for English Courses,Various,"['aromatic', 'perfume', 'smell', 'fragrance', 'scent', 'piney', 'aroma', 'scented', 'whiff']",5403
139,50,Under Two Flags,Ouida,"['bouquet', 'perfume', 'whiff', 'smell', 'scent', 'scented', 'aroma', 'acrid', 'odorous', 'musty', 'fragrance', 'aromatic', 'ripe', 'reek']",3465
