
71,93,The Works of the Rev. Hugh Binning,Hugh Binning,"['pungent', 'savour', 'ripe', 'perfume', 'smell', 'ripeness', 'stink', 'scent']",24238
72,92,American Flower Garden Directory,Thomas Hibbert and Robert Buist,"['musty', 'smell', 'ripe', 'odour', 'scent', 'fragrance', 'scented', 'musk', 'aromatic', 'odorous', 'pungent']",42825
73,91,Chambers's Twentieth Century Dictionary (part 2 of 4: E-M),Various,"['odour', 'acrid', 'perfume', 'aromatic', 'smell', 'scent', 'fetid', 'stink', 'musty', 'fusty', 'pungent', 'fragrance', 'ripe', 'ripeness', 'musky', 'musk', 'scented']",38538
74,91,"The Bible, King James Version, Complete",Various,"['savour', 'smell', 'stink', 'ripe', 'perfume', 'scent', 'odour']",30
75,90,"The Every-day Book and Table Book, Vol. 1 of 3",William Hone,"['perfume', 'odour', 'stench', 'scent', 'stink', 'waft', 'smell', 'ripe', 'fragrance', 'scented', 'musk', 'bouquet', 'savour', 'musty', 'musky', 'whiff', 'acrid', 'aromatic', 'reek']",53275
76,90,A Complete Dictionary of Synonyms and Antonyms,Samuel Fallows,"['acrid', 'pungent', 'fragrance', 'aromatic', 'waft', 'putrid', 'ripe', 'stink', 'scent', 'fetid', 'scented', 'odorous', 'musty', 'fusty', 'perfume', 'redolence', 'smell', 'aroma', 'stench', 'ripeness', 'reek']",51155
77,89,The Life of Sir Richard Burton,Thomas Wright,"['scented', 'odour', 'stench', 'perfume', 'odorous', 'smell', 'aromatic', 'aroma', 'ripe', 'redolence', 'pungent', 'musk', 'whiff']",4315
79,89,Desserts and Salads,Gesine Lemcke,"['ripe', 'musk', 'aroma', 'bouquet']",29730
81,88,Chambers's Twentieth Century Dictionary (part 3 of 4: N-R),Various,"['aromatic', 'smell', 'odour', 'bouquet', 'ripe', 'musk', 'scent', 'perfume', 'fragrance', 'fetid', 'scented', 'pungent', 'stink', 'ripeness', 'odorous', 'whiff', 'acrid', 'putrid', 'reek']",38699
83,88,The Complete Book of Cheese,Robert Carlton Brown,"['ripe', 'scent', 'pungency', 'ripeness', 'pungent', 'bouquet', 'smell', 'aroma', 'aromatic', 'musty', 'scented', 'savour', 'fragrance', 'acrid']",14293
