,Unnamed: 0,freq.,title,author,words,code,sentence_count,density
58,58,52,The Harvester,Gene Stratton Porter,"['odour', 'perfume', 'smell', 'scent', 'odorous', 'scented', 'fragrance', 'musty', 'aromatic', 'bouquet', 'musky', 'ripe', 'fetid', 'pungent', 'acrid']",349,11131,0.004671637768394574
59,59,41,Darkness and Dawn,George Allan England,"['musty', 'acrid', 'pungent', 'odorous', 'smell', 'perfume', 'ripe', 'scent', 'sniff', 'fetid', 'scented', 'whiff']",7463,14485,0.0028305143251639627
60,60,45,Peter Ibbetson,George Du Maurier,"['scent', 'smell', 'scented', 'ripe', 'sniff', 'odorous', 'whiff', 'malodorous', 'reek', 'fragrance', 'bouquet']",9817,3761,0.011964902951342728
61,61,43,Romola,George Eliot,"['aromatic', 'scent', 'ripe', 'perfume', 'pungent', 'scented', 'odour', 'ripeness', 'smell', 'pungency', 'stench', 'fragrance']",24020,9204,0.0046718817905258584
62,62,43,Love's Old Sweet Song,George Herman Ellwanger,"['fragrance', 'perfume', 'scent', 'scented', 'ripe', 'odour', 'smell', 'musty', 'waft', 'odorous']",54148,1978,0.021739130434782608
63,63,51,Alec Forbes of Howglen,George MacDonald,"['pungency', 'smell', 'reek', 'stench', 'ripe', 'scent', 'stink', 'odour', 'sniff', 'musty', 'aroma']",18810,11180,0.004561717352415027
64,64,46,"The Adventures of Harry Richmond, Complete",George Meredith,"['smell', 'ripe', 'musty', 'whiff', 'scent', 'perfume', 'odour', 'bouquet', 'acrid', 'savour', 'scented', 'stink', 'piney', 'reek']",4452,14054,0.003273089511882738
65,65,41,The Decameron of Giovanni Boccaccio,Giovanni Boccaccio,"['scented', 'stench', 'aromatic', 'ripe', 'savour', 'smell', 'stink', 'odour', 'scent', 'fragrance', 'musk']",23700,7034,0.005828831390389536
66,66,55,Falling in Love,Grant Allen,"['smell', 'musk', 'scent', 'perfume', 'pungent', 'ripe', 'acrid', 'sniff', 'pungency', 'odorous', 'musty', 'aroma', 'fetid']",16807,3377,0.016286644951140065
67,67,46,After the Divorce,Grazia Deledda,"['fragrance', 'odour', 'scent', 'perfume', 'fetid', 'ripe', 'smell', 'aromatic', 'acrid', 'waft']",39834,5169,0.00889920680982782
68,68,47,Madame Bovary,Gustave Flaubert,"['smell', 'odour', 'bouquet', 'perfume', 'odorous', 'aroma', 'scent', 'ripe', 'aromatic']",2413,7064,0.006653454133635334
69,69,131,"Original Short Stories, Complete",Guy de Maupassant,"['musty', 'ripe', 'fragrance', 'scent', 'smell', 'whiff', 'perfume', 'scented', 'bouquet', 'stench', 'ripeness', 'pungent', 'putrid']",3090,24452,0.005357434974644201
70,70,45,The Christian,Hall Caine,"['musty', 'perfume', 'scented', 'odour', 'smell', 'scent', 'bouquet', 'fragrance', 'ripe']",8407,12608,0.003569162436548223
71,71,60,The Valiants of Virginia,Hallie Erminie Rives,"['smell', 'acrid', 'perfume', 'bouquet', 'scent', 'aromatic', 'musty', 'scented', 'musky', 'fragrance', 'odorous', 'musk', 'aroma', 'pungent', 'whiff']",33963,6880,0.00872093023255814
72,72,132,Fairy Tales of Hans Christian Andersen,Hans Christian Andersen,"['perfume', 'smell', 'fragrance', 'bouquet', 'ripe', 'scent', 'musty', 'putrid', 'stench', 'scented']",27200,18667,0.007071302298173247
73,73,42,Caravans By Night,Harry Hervey,"['perfume', 'smell', 'fragrance', 'scented', 'stench', 'musty', 'musk', 'ripe', 'scent', 'odorous', 'pungent', 'stink', 'reek', 'putrid', 'aromatic']",34813,7120,0.005898876404494382
74,74,81,The poems of Heine; Complete,Heinrich Heine,"['smell', 'fragrance', 'perfume', 'scent', 'odour', 'scented', 'stink', 'stench', 'musty', 'fetid', 'musk']",52882,8653,0.009360915289494972
75,75,61,Excursions and Poems,Henry David Thoreau,"['ripe', 'scent', 'musty', 'fragrance', 'musk', 'smell', 'perfume', 'scented', 'ripeness', 'acrid', 'waft']",42553,4831,0.01262678534464914
76,76,57,Maurice Guest,Henry Handel Richardson,"['fragrance', 'scent', 'odour', 'scented', 'ripe', 'smell', 'pungent', 'sniff', 'perfume', 'acrid']",3727,13781,0.00413612945359553
77,77,56,Comedies and Errors,Henry Harland,"['fragrance', 'perfume', 'sniff', 'smell', 'odour', 'acrid', 'musty', 'scent', 'ripe', 'savour', 'scented', 'stench', 'aromatic', 'pungent', 'waft']",52701,5166,0.01084010840108401
78,78,44,Italian Hours,Henry James,"['smell', 'ripe', 'bouquet', 'savour', 'odorous', 'odour', 'acrid', 'perfume', 'musty', 'fetid', 'sniff', 'aroma', 'redolence', 'pungency', 'malodorous', 'whiff']",6354,3855,0.011413748378728923
79,79,54,The Song of Songs,Hermann Sudermann,"['fragrance', 'bouquet', 'smell', 'musty', 'aroma', 'scented', 'perfume', 'pungent', 'odour', 'malodorous', 'scent', 'reek', 'whiff', 'odorous', 'ripe']",34791,11767,0.004589105124500723
80,80,50,"Droll Stories, Complete",Honore de Balzac,"['perfume', 'odour', 'waft', 'ripe', 'smell', 'musty', 'scented', 'sniff', 'fetid', 'scent', 'musk', 'fragrance']",13260,6334,0.007893905904641616
81,81,40,Jeremy,Hugh Walpole,"['smell', 'scented', 'sniff', 'scent', 'odour']",3474,4913,0.008141664970486465
82,82,68,Jinny the Carrier,Israel Zangwill,"['sniff', 'odorous', 'musty', 'savour', 'smell', 'waft', 'fusty', 'scent', 'aromatic', 'pungent', 'fragrance', 'acrid', 'whiff', 'aroma', 'reek', 'ripe', 'bouquet', 'scented', 'odour', 'stench', 'putrid', 'malodorous']",57836,10372,0.006556112610875434
83,83,50,The Village,Ivan Bunin,"['fetid', 'odour', 'sniff', 'scent', 'smell', 'fragrance', 'stench', 'reek', 'putrid', 'perfume', 'scented', 'aromatic', 'aroma']",59981,3306,0.015124016938898971
84,84,52,Jerry of the Islands,Jack London,"['smell', 'scent', 'acrid', 'sniff', 'ripe', 'odour', 'stench', 'pungent', 'aromatic', 'scented', 'fragrance']",1161,3670,0.014168937329700272
85,85,147,Ulysses,James Joyce,"['odour', 'musk', 'reek', 'smell', 'acrid', 'stench', 'scented', 'perfume', 'fragrance', 'pungent', 'aromatic', 'bouquet', 'whiff', 'ripe', 'stink', 'savour', 'musty', 'aroma', 'scent', 'waft', 'sniff', 'putrid', 'fetid']",4300,23759,0.006187129087924576
86,86,86,The String of Pearls,James Malcolm Rymer,"['aroma', 'ripe', 'scent', 'odour', 'stench', 'smell', 'pungent', 'stink', 'fetid', 'scented', 'sniff', 'perfume', 'putrid']",59828,26103,0.003294640462782056
87,87,125,Kazan,James Oliver Curwood,"['scent', 'perfume', 'smell', 'scented', 'sniff', 'pungent', 'aroma', 'ripe', 'whiff']",10084,4376,0.02856489945155393
88,88,41,The Younger American Poets,Jessie Belle Rittenhouse,"['pungent', 'aroma', 'scent', 'fragrance', 'whiff', 'scented', 'perfume', 'ripe', 'pungency', 'odorous', 'ripeness', 'smell', 'aromatic', 'sniff', 'musk', 'waft']",55447,2357,0.017394993635977938
89,89,45,Desert Love,Joan Conquest,"['pungent', 'aroma', 'perfume', 'scented', 'sniff', 'odour', 'savour', 'ripe', 'scent', 'fragrance', 'musk', 'aromatic']",15242,2419,0.018602728400165358
90,90,51,Swiss Family Robinson,Johann David Wyss,"['smell', 'perfume', 'ripe', 'aromatic', 'ripeness', 'scented', 'scent', 'musk', 'odour', 'musky']",3836,5476,0.00931336742147553
91,91,59,Wood and Stone,John Cowper Powys,"['smell', 'perfume', 'pungency', 'aromatic', 'fragrance', 'pungent', 'odour', 'scent', 'scented', 'fetid', 'savour']",53157,9614,0.006136883711254421
92,92,109,Three Soldiers,John Dos Passos,"['smell', 'odour', 'stink', 'putrid', 'fetid', 'stench', 'reek', 'musty', 'acrid', 'ripe', 'fragrance', 'scent', 'scented', 'perfume', 'pungent', 'whiff', 'bouquet']",6362,10806,0.010086988709975939
93,93,160,"The Forsyte Saga, Complete",John Galsworthy,"['ripeness', 'sniff', 'scented', 'perfume', 'aroma', 'fragrance', 'scent', 'ripe', 'savour', 'odour', 'reek', 'smell', 'acrid', 'bouquet', 'aromatic', 'musk', 'musty', 'fusty', 'whiff', 'stink']",4397,17273,0.009263011636658368
94,94,47,Sisters,Kathleen Norris,"['scent', 'scented', 'piney', 'fragrance', 'odour', 'aromatic', 'perfume', 'ripeness', 'bouquet', 'sniff', 'pungent', 'smell', 'whiff', 'odorous']",4947,6210,0.0075684380032206115
95,95,41,India's Love Lyrics,Laurence Hope,"['scent', 'ripe', 'fragrance', 'perfume', 'musk', 'scented', 'smell', 'acrid']",8197,1137,0.03605980650835532
96,96,46,Orlando Furioso,Lodovico Ariosto,"['scented', 'scent', 'perfume', 'ripe', 'odorous', 'savour', 'odour', 'smell', 'stink', 'fetid', 'fragrance', 'musk', 'stench', 'reek', 'waft']",615,9411,0.004887897141642759
97,97,47,A Son of the Sahara,Louise Gerard,"['perfume', 'fragrance', 'scented', 'scent', 'savour', 'smell', 'sniff', 'odour', 'ripe', 'acrid']",36914,6147,0.007646006181877338
98,98,43,When We Were Strolling Players in the East,Louise Jordan Miln,"['perfume', 'smell', 'ripe', 'pungent', 'scented', 'stench', 'scent', 'odour', 'aromatic', 'bouquet', 'waft']",56262,6273,0.006854774430097242
